,卡片记录编码,交易金额,实际交易金额,交易时间,公司名称,线路名称,车牌号,lab1,lab,纬度,经度,angle,站点标号
258,328270446,2,1.6,2014-06-10 19:21:27,西部公共汽车,334路,粤BH1177,1161,1161.0,22.626382,114.033996,0.0,43
264,329423860,2,1.6,2014-06-10 19:21:24,西部公共汽车,334路,粤BH1177,1161,1161.0,22.626382,114.033996,0.0,43
280,361186708,2,1.6,2014-06-10 19:21:38,西部公共汽车,334路,粤BH1177,1161,1161.0,22.626382,114.033996,-1.2750062206360648,43
521,324615178,2,1.2,2014-06-10 19:25:34,西部公共汽车,334路,粤BH1177,1165,1165.0,22.6208,114.035697,0.0,41
528,294371619,3,2.4,2014-06-10 19:25:27,西部公共汽车,334路,粤BH1177,1165,1165.0,22.6208,114.035697,-1.157449072315718,41
368,290328045,3,2.4,2014-06-10 19:27:07,西部公共汽车,334路,粤BH1177,1167,1167.0,22.616433999999998,114.03761200000001,0.0,40
532,294801508,2,1.2,2014-06-10 19:27:27,西部公共汽车,334路,粤BH1177,1167,1167.0,22.616433999999998,114.03761200000001,0.0,40
301,80038467,2,1.6,2014-06-10 19:27:11,西部公共汽车,334路,粤BH1177,1167,1167.0,22.616433999999998,114.03761200000001,0.0,40
527,294359476,2,1.6,2014-06-10 19:27:23,西部公共汽车,334路,粤BH1177,1167,1167.0,22.616433999999998,114.03761200000001,0.0,40
365,290066434,2,1.6,2014-06-10 19:27:38,西部公共汽车,334路,粤BH1177,1167,1167.0,22.616433999999998,114.03761200000001,0.0,40
259,328274280,2,1.6,2014-06-10 19:27:16,西部公共汽车,334路,粤BH1177,1167,1167.0,22.616433999999998,114.03761200000001,0.0,40
514,323864983,3,2.4,2014-06-10 19:27:33,西部公共汽车,334路,粤BH1177,1167,1167.0,22.616433999999998,114.03761200000001,-1.0734228254320994,40
511,323543933,2,1.6,2014-06-10 19:28:59,西部公共汽车,334路,粤BH1177,1168,1168.0,22.612133,114.039947,-1.2638869832149107,39
545,296286610,2,1.6,2014-06-10 19:29:10,西部公共汽车,334路,粤BH1177,1169,1169.0,22.610183,114.04056499999999,0.0,38
530,294384981,2,1.6,2014-06-10 19:29:28,西部公共汽车,334路,粤BH1177,1169,1169.0,22.610183,114.04056499999999,0.0,38
519,324478282,2,1.6,2014-06-10 19:29:14,西部公共汽车,334路,粤BH1177,1169,1169.0,22.610183,114.04056499999999,0.0,38
358,280492921,2,1.6,2014-06-10 19:29:19,西部公共汽车,334路,粤BH1177,1169,1169.0,22.610183,114.04056499999999,0.0,38
409,292049336,2,1.6,2014-06-10 19:29:45,西部公共汽车,334路,粤BH1177,1169,1169.0,22.610183,114.04056499999999,0.0,38
287,660388128,2,1.6,2014-06-10 19:29:05,西部公共汽车,334路,粤BH1177,1169,1169.0,22.610183,114.04056499999999,0.9733570735222918,38
504,322139212,3,2.4,2014-06-10 19:30:50,西部公共汽车,334路,粤BH1177,1170,1170.0,22.607267,114.03858100000001,0.0,37
417,293173378,2,1.6,2014-06-10 19:30:42,西部公共汽车,334路,粤BH1177,1170,1170.0,22.607267,114.03858100000001,-0.9060218319798016,37
303,80259804,2,1.2,2014-06-10 19:31:00,西部公共汽车,334路,粤BH1177,1171,1171.0,22.605417000000003,114.040031,-1.0665875900580692,37
588,327157704,2,1.6,2014-06-10 19:33:46,西部公共汽车,334路,粤BH1177,1173,1173.0,22.597382999999997,114.04446399999999,0.0,36
412,292583034,3,2.0,2014-06-10 19:33:29,西部公共汽车,334路,粤BH1177,1173,1173.0,22.597382999999997,114.04446399999999,0.0,36
366,290187492,2,1.2,2014-06-10 19:33:20,西部公共汽车,334路,粤BH1177,1173,1173.0,22.597382999999997,114.04446399999999,0.0,36
275,360540611,2,1.6,2014-06-10 19:33:24,西部公共汽车,334路,粤BH1177,1173,1173.0,22.597382999999997,114.04446399999999,0.0,36
536,295005909,2,1.2,2014-06-10 19:33:34,西部公共汽车,334路,粤BH1177,1173,1173.0,22.597382999999997,114.04446399999999,-0.8269143149162906,36
501,321611958,2,1.6,2014-06-10 19:34:29,西部公共汽车,334路,粤BH1177,1174,1174.0,22.594299,114.047302,0.0,36
281,361277833,2,1.6,2014-06-10 19:34:10,西部公共汽车,334路,粤BH1177,1174,1174.0,22.594299,114.047302,-1.0525450228772213,36
591,327413097,2,1.2,2014-06-10 19:39:13,西部公共汽车,334路,粤BH1177,1179,1179.0,22.5713,114.06041699999999,0.0,35
369,290778762,2,1.6,2014-06-10 19:39:07,西部公共汽车,334路,粤BH1177,1179,1179.0,22.5713,114.06041699999999,0.0,35
407,291898176,2,1.6,2014-06-10 19:39:05,西部公共汽车,334路,粤BH1177,1179,1179.0,22.5713,114.06041699999999,0.01485774761860855,35
